dept_id,dept_name,dept_category,division,dept_type,dept_age_years,location_type,team_size,reporting_structure,manager_experience_level,supervisor_experience_level,primary_function,secondary_function,creation_reason,oversight_body,reporting_lag_days,training_hours_quarterly,violations_past_3years,remediation_plan_active,executive_support,external_consulting,engagement_programs,onboarding_program,improvement_commitment,digital_systems,external_partnerships,interdept_collaboration_score,resource_availability_score,external_interactions_frequency,risk_exposure_operational,risk_exposure_financial,operational_health_index,reporting_gaps_annual,audit_score_q1,audit_score_q2,compliance_score_final,overall_risk_score
DEPT-1070,Elite Risk Management,Financial_Reporting,Corporate_HQ,Operations,6.0,,Small,Centralized,3.0,,Compliance,Other,Restructuring,External_Auditor,3.0,20.0,,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,3.0,5.0,3.0,16.0,50.0,55.0,60.0,48.0
DEPT-9383,Risk Management - Regional Region,Operational_Compliance,Regional_Operations,Compliance,13.0,Urban,Medium,Hybrid,4.0,2.0,,Compliance,Regulation,Internal_Audit,2.0,86.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,,1.0,0.0,,100.0,100.0,75.0
DEPT-1273,Regulatory Affairs - Alpha Region,Financial_Reporting,Corporate_HQ,Support,5.0,Remote,Large,Centralized,2.0,2.0,,,Expansion,Internal_Audit,1.0,20.0,0.0,,1.0,,,1.0,1.0,0.0,0.0,,3.0,1.0,1.0,1.0,2.0,8.0,70.0,65.0,60.0,14.0
DEPT-1766,Innovation Governance,Financial_Reporting,Corporate_HQ,Operations,,Urban,,,,1.0,Other,Other,Restructuring,Internal_Audit,2.0,20.0,3.0,1.0,1.0,0.0,1.0,,,1.0,,,5.0,,1.0,1.0,3.0,0.0,45.0,45.0,50.0,40.0
DEPT-8730,West Operations,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-6450,Governance - Prime Region,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Small,Centralized,4.0,3.0,Other,Other,Restructuring,Compliance_Officer,2.0,40.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,,2.0,0.0,65.0,70.0,70.0,15.0
DEPT-2773,Governance - Legacy Region,Financial_Reporting,Corporate_HQ,Operations,7.0,Urban,Large,Centralized,3.0,3.0,Operations,Operations,Merger,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,6.0,55.0,65.0,70.0,28.0
DEPT-4878,Quality Assurance - Innovation Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-1344,Innovation Department,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,,4.0,Operations,Compliance,Merger,External_Auditor,1.0,40.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,65.0,60.0,60.0,
DEPT-6205,Beta Business Integrity,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-9897,Core Ethics and Compliance,Financial_Reporting,Corporate_HQ,Support,,Remote,Large,Centralized,3.0,1.0,Other,Other,Expansion,Internal_Audit,,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0,40.0,40.0,40.0,12.0
DEPT-4098,East Department,Financial_Reporting,Corporate_HQ,Operations,2.0,International,Medium,,1.0,,Legal,,Expansion,,5.0,63.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,3.0,2.0,2.0,,74.8,83.2,84.9,48.0
DEPT-6138,East Ethics and Compliance,Financial_Reporting,Corporate_HQ,Operations,5.0,Urban,Large,Centralized,,3.0,Other,Other,,Internal_Audit,1.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,5.0,3.0,2.0,1.0,2.0,5.0,2.0,50.0,45.0,45.0,
DEPT-4645,Legacy Services,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-1713,Tactical Quality Assurance,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-3003,Innovation Team,Risk_Management,Corporate_HQ,Technology,6.0,Remote,Large,Hybrid,1.0,2.0,Technology,Legal,,External_Auditor,2.0,72.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0,,2.0,3.0,2.0,3.0,1.0,11.0,74.8,78.3,79.0,40.5
DEPT-6824,Regulatory Affairs - Innovation Region,Financial_Reporting,Corporate_HQ,Support,,,,Centralized,1.0,1.0,Other,Other,Regulation,Compliance_Officer,3.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,12.0,50.0,50.0,55.0,41.0
DEPT-6698,Internal Controls - Elite Region,Financial_Reporting,Corporate_HQ,Operations,7.0,Remote,,Centralized,2.0,1.0,Administrative,Other,Regulation,Internal_Audit,,20.0,,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,3.0,3.0,2.0,2.0,2.0,5.0,8.0,40.0,40.0,45.0,34.0
DEPT-9931,Emerging Governance,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Large,Centralized,,4.0,Compliance,Finance,Expansion,Internal_Audit,1.0,40.0,0.0,,1.0,0.0,,1.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,70.0,70.0,70.0,
DEPT-8683,Financial Controls - Regional Region,Financial_Reporting,Corporate_HQ,Support,8.0,,Large,Centralized,3.0,,Operations,Operations,Restructuring,Internal_Audit,1.0,40.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,4.0,1.0,1.0,4.0,8.0,50.0,55.0,60.0,14.0
DEPT-1158,South Risk Management,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-1622,Digital Services,Financial_Reporting,Corporate_HQ,Operations,7.0,Remote,Large,Centralized,1.0,3.0,Other,Other,,External_Auditor,3.0,40.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,4.0,,4.0,5.0,,60.0,55.0,55.0,42.0
DEPT-1444,Process Excellence - West Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-9694,Business Integrity - Innovation Region,Risk_Management,Corporate_HQ,Compliance,,Suburban,Medium,Autonomous,2.0,2.0,Technology,Finance,Merger,External_Auditor,1.0,12.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,6.0,79.1,86.5,88.0,58.0
DEPT-6841,Global Branch,Financial_Reporting,Corporate_HQ,,7.0,Urban,Large,Centralized,1.0,1.0,Other,Other,Expansion,External_Auditor,1.0,40.0,0.0,,0.0,,0.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,0.0,,60.0,60.0,15.0
DEPT-1342,Regulatory Affairs - Regional Region,Financial_Reporting,Corporate_HQ,Operations,8.0,,Small,Autonomous,3.0,4.0,Other,Other,Expansion,Internal_Audit,2.0,,0.0,0.0,1.0,0.0,1.0,,,,0.0,4.0,2.0,5.0,3.0,4.0,1.0,6.0,75.0,80.0,80.0,38.0
DEPT-2716,Metro Quality Assurance,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Centralized,4.0,2.0,Finance,,Restructuring,External_Auditor,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,,,1.0,1.0,3.0,0.0,85.0,85.0,90.0,10.0
DEPT-2619,Ethics and Compliance - Advanced Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-7570,Beta Regulatory Affairs,Financial_Reporting,Corporate_HQ,Compliance,14.0,Suburban,Small,Autonomous,2.0,1.0,Legal,Legal,Restructuring,Board_Committee,2.0,26.0,1.0,0.0,,1.0,,1.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,5.0,4.0,81.7,,63.2,32.0
DEPT-4459,Tactical Office,Financial_Reporting,Corporate_HQ,Support,8.0,Remote,Large,Centralized,2.0,2.0,Administrative,Other,Regulation,Internal_Audit,2.0,80.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,4.0,6.0,70.0,65.0,70.0,13.0
DEPT-3591,South Solutions,Financial_Reporting,Corporate_HQ,Support,7.0,Urban,Large,Centralized,3.0,2.0,Finance,Finance,Expansion,External_Auditor,1.0,80.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,2.0,1.0,2.0,5.0,0.0,90.0,90.0,90.0,15.0
DEPT-5308,Compliance - Metro Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-7071,Tactical Risk Management,Financial_Reporting,Corporate_HQ,Support,8.0,Urban,Large,Centralized,2.0,2.0,Administrative,Administrative,Merger,Internal_Audit,1.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,,0.0,90.0,90.0,90.0,15.0
DEPT-1822,Quality Assurance - Central Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-5096,North Team,Financial_Reporting,Corporate_HQ,Finance,,Urban,Large,Centralized,4.0,4.0,Operations,Compliance,Merger,External_Auditor,1.0,60.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,0.0,80.0,80.0,80.0,
DEPT-3939,Premier Team,Financial_Reporting,Corporate_HQ,Technology,6.0,Suburban,Small,Autonomous,1.0,1.0,Finance,Compliance,Innovation,Board_Committee,5.0,69.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,4.0,,3.0,2.0,4.0,1.0,17.0,83.7,82.4,82.2,38.5
DEPT-7411,Emerging Regulatory Affairs,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-9673,Regional Unit,Financial_Reporting,Corporate_HQ,Support,7.0,Urban,Small,Autonomous,2.0,2.0,Other,Other,Restructuring,Internal_Audit,1.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,8.0,55.0,45.0,50.0,24.0
DEPT-7292,Business Integrity - Digital Region,Financial_Reporting,Corporate_HQ,Support,9.0,Urban,Large,Centralized,3.0,3.0,Other,Operations,,Compliance_Officer,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,,5.0,3.0,3.0,,16.0,55.0,60.0,60.0,38.0
DEPT-5972,Risk Management - Advanced Region,Financial_Reporting,Corporate_HQ,Support,6.0,,Large,Centralized,2.0,2.0,Other,Other,Expansion,,1.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,2.0,3.0,1.0,3.0,3.0,1.0,65.0,65.0,65.0,20.5
DEPT-1396,Digital Regulatory Affairs,Financial_Reporting,Corporate_HQ,Operations,5.0,Urban,,Centralized,4.0,4.0,Operations,Operations,Expansion,Internal_Audit,2.0,40.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,,2.0,,75.0,75.0,11.0
DEPT-8422,South Regulatory Affairs,Financial_Reporting,Corporate_HQ,Operations,8.0,Urban,Large,Centralized,4.0,4.0,,Other,Regulation,Internal_Audit,1.0,60.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,,,3.0,0.0,,70.0,65.0,20.0
DEPT-2743,Compliance - Legacy Region,Financial_Reporting,Corporate_HQ,Operations,7.0,Urban,Large,Centralized,4.0,4.0,Operations,Compliance,,Internal_Audit,1.0,20.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,3.0,1.0,2.0,5.0,4.0,65.0,65.0,70.0,17.0
DEPT-7180,Emerging Division,Financial_Reporting,Corporate_HQ,Support,6.0,,Large,Autonomous,3.0,1.0,Operations,Other,Regulation,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,,3.0,2.0,2.0,4.0,2.0,55.0,55.0,,21.0
DEPT-8535,Audit Services - Global Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-8429,Legacy Department,Financial_Reporting,Corporate_HQ,,6.0,Urban,,Centralized,0.0,2.0,Other,Other,Merger,Internal_Audit,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,2.0,2.0,4.0,5.0,0.0,55.0,60.0,55.0,
DEPT-7761,Core Governance,Financial_Reporting,Corporate_HQ,Support,7.0,Remote,Large,Centralized,4.0,3.0,Compliance,Other,Expansion,Internal_Audit,2.0,60.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,0.0,55.0,60.0,60.0,10.0
DEPT-9035,Metro Hub,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Autonomous,2.0,1.0,Other,Other,Merger,Internal_Audit,1.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,,60.0,65.0,60.0,11.0
DEPT-5220,Internal Controls - Digital Region,Financial_Reporting,Corporate_HQ,Operations,8.0,Urban,Large,Centralized,2.0,1.0,Other,Other,Restructuring,Internal_Audit,1.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,5.0,2.0,4.0,1.0,2.0,4.0,2.0,80.0,80.0,80.0,16.0
DEPT-6192,Advanced Sector,Financial_Reporting,Corporate_HQ,Operations,,Urban,Small,Centralized,4.0,3.0,Compliance,Operations,Regulation,Internal_Audit,2.0,20.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,,2.0,3.0,1.0,2.0,,0.0,50.0,50.0,50.0,15.0
DEPT-9694,Premier Unit,Financial_Reporting,Corporate_HQ,Support,5.0,Remote,Large,Centralized,3.0,3.0,Operations,Operations,Expansion,Compliance_Officer,2.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,65.0,,65.0,26.0
DEPT-6321,Ethics and Compliance - Tactical Region,Financial_Reporting,Corporate_HQ,Operations,5.0,Urban,Large,Centralized,4.0,0.0,Compliance,Other,Regulation,Internal_Audit,,80.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,3.0,4.0,3.0,1.0,1.0,1.0,0.0,60.0,55.0,55.0,10.0
DEPT-7015,West Team,Financial_Reporting,Corporate_HQ,Support,5.0,Urban,Small,Centralized,1.0,1.0,Administrative,Other,Merger,Internal_Audit,1.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,,60.0,65.0,60.0,28.0
DEPT-8849,Legacy Group,Risk_Management,Corporate_HQ,Technology,4.0,Remote,Large,Hybrid,2.0,2.0,Other,Operations,Innovation,Internal_Audit,4.0,99.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,,4.0,5.0,2.0,2.0,,5.0,4.0,82.6,88.7,90.0,32.0
DEPT-2333,Risk Management - Emerging Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-4298,Alpha Business Integrity,Financial_Reporting,Corporate_HQ,Support,6.0,Urban,Large,Centralized,2.0,3.0,Operations,Operations,Regulation,Internal_Audit,,40.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,2.0,6.0,60.0,60.0,65.0,13.0
DEPT-1177,Advanced Office,Financial_Reporting,Regional_Operations,Operations,6.0,International,Small,Centralized,1.0,1.0,Operations,Compliance,Expansion,Board_Committee,2.0,84.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,3.0,2.0,1.0,5.0,27.0,54.2,,65.6,58.5
DEPT-5153,Ethics and Compliance - Advanced Region,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-6021,Metro Unit,Financial_Reporting,Corporate_HQ,Operations,8.0,Urban,Small,Autonomous,4.0,4.0,Compliance,Compliance,Expansion,Internal_Audit,1.0,,0.0,0.0,1.0,0.0,1.0,,,1.0,0.0,5.0,4.0,3.0,1.0,,2.0,0.0,85.0,85.0,85.0,10.0
DEPT-6557,Metro Financial Controls,Financial_Reporting,Corporate_HQ,Operations,6.0,Remote,Large,Centralized,,2.0,Compliance,Operations,Merger,Internal_Audit,1.0,20.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,4.0,,3.0,3.0,4.0,3.0,8.0,50.0,45.0,55.0,39.0
DEPT-8930,Legacy Operations,Operational_Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT-6488,Advanced Compliance,Financial_Reporting,Corporate_HQ,Operations,8.0,Urban,Large,Centralized,4.0,2.0,Compliance,Other,Restructuring,Internal_Audit,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,5.0,2.0,75.0,80.0,80.0,26.0
